Monatlich fortgeschriebene Übersicht der Umsatzsteuer-Umrechnungskurse 2023 (Euro-Referenzkurse);;;;;;;;;;;;;
Land;Währung;Januar[1];Februar [2];März [3];April [4];Mai [5];Juni [6];Juli [7];August [8];September [9];Oktober [10];November [11];Dezember [12]
Thailand;1 Euro;35,840 THB;36,486 THB;36,9120 THB;37,5490 THB;37,1660 THB;37,8520 THB;38,243 THB;38,195 THB;38,301 THB;38,549 THB;38,327 THB;38,176 THB
Tschechien;1 Euro;23,958 CZK;23,712 CZK;23,683 CZK;23,437 CZK;23,595 CZK;23,695 CZK;23,892 CZK;24,108 CZK;24,380 CZK;24,584 CZK;24,485 CZK;24,478 CZK
Türkei;1 Euro;20,2312 TRY;20,1981 TRY;20,3491 TRY;21,2267 TRY;21,4918 TRY;25,7697 TRY;29,3212 TRY;29,3788 TRY;28,8643 TRY;29,4506 TRY;30,9786 TRY;31,7243 TRY
Ungarn;1 Euro;396,03 HUF;384,91 HUF;385,01 HUF;375,34 HUF;372,37 HUF;370,60 HUF;379,04 HUF;385,05 HUF;386,43 HUF;385,33 HUF;379,19 HUF;381,80 HUF
USA;1 Euro;1,0769 USD;1,0715 USD;1,0706 USD;1,0968 USD;1,0868 USD;1,0840 USD;1,1058 USD;1,0909 USD;1,0684 USD;1,0563 USD;1,0808 USD;1,0903 USD
1 Kroatien ist am 1. Januar 2023 dem Euroraum mit einem unwiderruflichen Euro-Umrechnungskurs von 1 EUR = 7,53450 HRK beigetreten.;;;;;;;;;;;;;
2 Die EZB hat die Veröffentlichung des Euro-Referenzkurses zum Rubel mit Wirkung vom 2. März 2022 bis auf Weiteres ausgesetzt.;;;;;;;;;;;;;
[1] entsprechend BMF-Schreiben vom 1. Februar 2022 – III C 3 – S 7329/19/10001 :005 (2023/0006777) ;;;;;;;;;;;;;
[2] entsprechend BMF-Schreiben vom 1. März 2023 – III C 3 – S 7329/19/10001 :005 (2023/0211507) ;;;;;;;;;;;;;
[3] entsprechend BMF-Schreiben vom 3. April 2023 – III C 3 – S 7329/19/10001 :005 (2023/0331980);;;;;;;;;;;;;
[4] entsprechend BMF-Schreiben vom 2. Mai 2023 – III C 3 – S 7329/19/10001 :005 (2023/0409331) ;;;;;;;;;;;;;
[5] entsprechend BMF-Schreiben vom 1. Juni 2023 – III C 3 – S 7329/19/10001 :005 (2023/0532018) ;;;;;;;;;;;;;
[6] entsprechend BMF-Schreiben vom 3. Juli 2023 – III C 3 – S 7329/19/10001 :005 (2023/0647193) ;;;;;;;;;;;;;
[7] entsprechend BMF-Schreiben vom 1. August 2023 – III C 3 – S 7329/19/10001 :005 (2023/0745403);;;;;;;;;;;;;
[8] entsprechend BMF-Schreiben vom 1. September 2023 – III C 3 – S 7329/19/10001 :005 (2023/0836317) ;;;;;;;;;;;;;
[9] entsprechend BMF-Schreiben vom 2. Oktober 2023 – III C 3 – S 7329/19/10001 :005 (2023/0938334) ;;;;;;;;;;;;;
[10] entsprechend BMF-Schreiben vom 1. November 2023 – III C 3 – S 7329/19/10001 :005 (2023/1035752) ;;;;;;;;;;;;;
[11] entsprechend BMF-Schreiben vom 1. Dezember 2023 – III C 3 – S 7329/19/10001 :005 (2023/1129530) ;;;;;;;;;;;;;
[12] entsprechend BMF-Schreiben vom 2. Januar 2024 – III C 3 – S 7329/19/10001 :005 (2023/1229449) ;;;;;;;;;;;;;
