Monatlich fortgeschriebene Übersicht der Umsatzsteuer-Umrechnungskurse 2021 (Euro-Referenzkurse);;;;;;;;;;;;;;
Land;Währung;Januar[1];Februar [2];März [3];April [4];Mai [5];Juni [6];Juli [7];August [8];September [9];Oktober [10];November [11];Dezember [12];
Singapur;1 Euro;1,6140 SGD;1,6060 SGD;1,5975 SGD;1,5975 SGD;1,6153 SGD;1,6062 SGD;1,6019 SGD;1,5947 SGD;1,5864 SGD;1,5673 SGD;1,5487 SGD;1,5403 SGD;
Südafrika;1 Euro;18,4295 ZAR;17,8629 ZAR;17,8284 ZAR;17,2486 ZAR;17,0766 ZAR;16,7540 ZAR;17,1648 ZAR;17,3827 ZAR;17,1373 ZAR;17,2300 ZAR;17,7055 ZAR;17,9331 ZAR;
Thailand;1 Euro;36,528 THB;36,307 THB;36,632 THB;37,551 THB;37,992 THB;37,873 THB;38,586 THB;38,956 THB;38,919 THB;38,813 THB;37,773 THB;37,931 THB;
Tschechien;1 Euro;26,141 CZK;25,876 CZK;26,178 CZK;25,924 CZK;25,558 CZK;25,454 CZK;25,636 CZK;25,470 CZK;25,392 CZK;25,496 CZK;25,391 CZK;25,246 CZK;
Türkei;1 Euro;9,0059 TRY;8,5785 TRY;9,1301 TRY;9,7936 TRY;10,1852 TRY;10,3823 TRY;10,1587 TRY;9,9788 TRY;10,0691 TRY;10,6809 TRY;12,2361 TRY;15,4045 TRY;
Ungarn;1 Euro;359,19 HUF;358,15 HUF;365,61 HUF;360,58 HUF;353,65 HUF;349,94 HUF;357,26 HUF;351,84 HUF;352,51 HUF;360,82 HUF;364,50 HUF;367,50 HUF;
USA;1 Euro;1,2171 USD;1,2098 USD;1,1899 USD;1,1979 USD;1,2146 USD;1,2047 USD;1,1822 USD;1,1772 USD;1,1770 USD;1,1601 USD;1,1414 USD;1,1304 USD;
;;;;;;;;;;;;;;
[1] entsprechend BMF-Schreiben vom 1. Februar 2021 – III C 3 – S 7329/19/10001 :003 (2021/0110018) -;;;;;;;;;;;;;;
[2] entsprechend BMF-Schreiben vom 1. März 2021 – III C 3 – S 7329/19/10001 :003 (2021/0238454) - ;;;;;;;;;;;;;;
[3] entsprechend BMF-Schreiben vom 1. April 2021 – III C 3 – S 7329/19/10001 :003 (2021/0372899) –;;;;;;;;;;;;;;
[4] entsprechend BMF-Schreiben vom 3. Mai 2021 – III C 3 – S 7329/19/10001 :003 (2021/0497127) –;;;;;;;;;;;;;;
[5] entsprechend BMF-Schreiben vom 1. Juni 2021 – III C 3 – S 7329/19/10001 :003 (2021/0617503) –;;;;;;;;;;;;;;
[6] entsprechend BMF-Schreiben vom 1. Juli 2021 – III C 3 – S 7329/19/10001 :003 (2021/0747070) –;;;;;;;;;;;;;;
[7] entsprechend BMF-Schreiben vom 2. August 2021 – III C 3 – S 7329/19/10001 :003 (2021/0822106) –;;;;;;;;;;;;;;
[8] entsprechend BMF-Schreiben vom 1. September 2021 – III C 3 – S 7329/19/10001 :003 (2021/0949553) –;;;;;;;;;;;;;;
[9] entsprechend BMF-Schreiben vom 1. Oktober 2021 – III C 3 – S 7329/19/10001 :003 (2021/1025216) –;;;;;;;;;;;;;;
[10] entsprechend BMF-Schreiben vom 1. November 2021 – III C 3 – S 7329/19/10001 :003 (2021/1141770) –;;;;;;;;;;;;;;
[11] entsprechend BMF-Schreiben vom 1. Dezember 2021 – III C 3 – S 7329/19/10001 :003 (2021/1234444) –;;;;;;;;;;;;;;
[12] entsprechend BMF-Schreiben vom 3. Januar 2022 – III C 3 – S 7329/19/10001 :003 (2021/1327105) –;;;;;;;;;;;;;;
