Gesamtübersicht 2016;;;;;;;;;;;;;
Umsatzsteuer-Umrechnungskurse;;;;;;;;;;;;;
Euro-Referenzkurse;;;;;;;;;;;;;
Land;Währung;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
Australien;1 Euro;"1,5510
AUD";"1,5556
AUD";"1,4823
AUD";"1,4802
AUD";"1,5461
AUD";"1,5173
AUD";"1,4694
AUD";"1,4690
AUD";"1,4768
AUD";"1,4470
AUD";"1,4331
AUD";"1,4356
AUD"
Brasilien;1 Euro;"4,4021
BRL";"4,3953
BRL";"4,1195
BRL";"4,0374
BRL";"3,9983
BRL";"3,8570
BRL";"3,6263
BRL";"3,5983
BRL";"3,6436
BRL";"3,5158
BRL";"3,6056
BRL";"3,5405
BRL"
Bulgarien;1 Euro;"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN";"1,9558
BGN"
China (VR);1 Euro;"7,1393
CNY";"7,2658
CNY";"7,2220
CNY";"7,3461
CNY";"7,3864
CNY";"7,4023
CNY";"7,3910
CNY";"7,4537
CNY";"7,4819
CNY";"7,4198
CNY";"7,3883
CNY";"7,2983
CNY"
Dänemark;1 Euro;"7,4619
DKK";"7,4628
DKK";"7,4569
DKK";"7,4427
DKK";"7,4386
DKK";"7,4371
DKK";"7,4390
DKK";"7,4408
DKK";"7,4475
DKK";"7,4402
DKK";"7,4406
DKK";"7,4362
DKK"
Großbritannien;1 Euro;"0,75459
GBP";"0,77559
GBP";"0,78020
GBP";"0,79230
GBP";"0,77779
GBP";"0,79049
GBP";"0,84106
GBP";"0,85521
GBP";"0,85228
GBP";"0,89390
GBP";"0,86894
GBP";"0,84441
GBP"
Hongkong;1 Euro;"8,4509
HKD";"8,6333
HKD";"8,6152
HKD";"8,7954
HKD";"8,7815
HKD";"8,7162
HKD";"8,5858
HKD";"8,6961
HKD";"8,6964
HKD";"8,5533
HKD";"8,3758
HKD";"8,1802
HKD"
Indien;1 Euro;"73,2036
INR";"75,7172
INR";"74,3018
INR";"75,3823
INR";"75,7016
INR";"75,5592
INR";"74,3738
INR";"75,0303
INR";"74,8220
INR";"73,5775
INR";"73,0550
INR";"71,5390
INR"
Indonesien;1 Euro;"15.069,76
IDR";"14.985,33
IDR";"14.629,58
IDR";"14.932,22
IDR";"15.188,82
IDR";"14.969,03
IDR";"14.520,91
IDR";"14.757,31
IDR";"14.697,52
IDR";"14.361,10
IDR";"14.398,18
IDR";"14.135,71
IDR"
Israel;1 Euro;"4,2903
ILS";"4,3336
ILS";"4,2927
ILS";"4,2812
ILS";"4,3115
ILS";"4,3323
ILS";"4,2686
ILS";"4,2559
ILS";"4,2210
ILS";"4,2110
ILS";"4,1491
ILS";"4,0401
ILS"
Japan;1 Euro;"128,32
JPY";"127,35
JPY";"125,39
JPY";"124,29
JPY";"123,21
JPY";"118,45
JPY";"115,25
JPY";"113,49
JPY";"114,22
JPY";"114,47
JPY";"116,93
JPY";"122,39
JPY"
Kanada;1 Euro;"1,5447
CAD";"1,5317
CAD";"1,4697
CAD";"1,4559
CAD";"1,4626
CAD";"1,4477
CAD";"1,4428
CAD";"1,4557
CAD";"1,4677
CAD";"1,4594
CAD";"1,4519
CAD";"1,4070
CAD"
Korea, Republik;1 Euro;"1.307,56
KRW";"1.349,77
KRW";"1.314,89
KRW";"1.300,58
KRW";"1.329,46
KRW";"1.310,59
KRW";"1.264,05
KRW";"1.245,55
KRW";"1.244,12
KRW";"1.243,02
KRW";"1.256,71
KRW";"1.248,48
KRW"
Kroatien;1 Euro;"7,6582
HRK";"7,6355
HRK";"7,5593
HRK";"7,4947
HRK";"7,4979
HRK";"7,5204
HRK";"7,4930
HRK";"7,4866
HRK";"7,5005
HRK";"7,5068
HRK";"7,5211
HRK";"7,5404
HRK"
Malaysia;1 Euro;"4,7162
MYR";"4,6411
MYR";"4,5167
MYR";"4,4232
MYR";"4,5755
MYR";"4,5760
MYR";"4,4471
MYR";"4,5141
MYR";"4,6108
MYR";"4,6040
MYR";"4,6843
MYR";"4,7013
MYR"
Mexiko;1 Euro;"19,6039
MXN";"20,4826
MXN";"19,5943
MXN";"19,8402
MXN";"20,4956
MXN";"20,9430
MXN";"20,5453
MXN";"20,7136
MXN";"21,5034
MXN";"20,8389
MXN";"21,6800
MXN";"21,6189
MXN"
Neuseeland;1 Euro;"1,6654
NZD";"1,6732
NZD";"1,6481
NZD";"1,6458
NZD";"1,6628
NZD";"1,5955
NZD";"1,5514
NZD";"1,5491
NZD";"1,5328
NZD";"1,5409
NZD";"1,5102
NZD";"1,4982
NZD"
Norwegen;1 Euro;"9,5899
NOK";"9,5628
NOK";"9,4300
NOK";"9,3224
NOK";"9,3036
NOK";"9,3278
NOK";"9,3690
NOK";"9,3030
NOK";"9,1971
NOK";"9,0009
NOK";"9,0807
NOK";"9,0252
NOK"
Philippinen;1 Euro;"51,654
PHP";"52,816
PHP";"51,722
PHP";"52,598
PHP";"52,951
PHP";"52,172
PHP";"52,102
PHP";"52,254
PHP";"53,359
PHP";"53,304
PHP";"53,160
PHP";"52,493
PHP"
Polen;1 Euro;"4,4074
PLN";"4,3970
PLN";"4,2932
PLN";"4,3106
PLN";"4,4039
PLN";"4,3996
PLN";"4,3964
PLN";"4,3005
PLN";"4,3207
PLN";"4,3076
PLN";"4,3911
PLN";"4,4357
PLN"
Rumänien;1 Euro;"4,5311
RON";"4,4814
RON";"4,4666
RON";"4,4724
RON";"4,4991
RON";"4,5230
RON";"4,4856
RON";"4,4591
RON";"4,4502
RON";"4,4942
RON";"4,5100
RON";"4,5164
RON"
Russland;1 Euro;"83,8638
RUB";"85,6158
RUB";"77,9394
RUB";"75,4333
RUB";"74,4745
RUB";"73,1466
RUB";"71,2417
RUB";"72,7952
RUB";"72,2387
RUB";"69,0091
RUB";"69,5321
RUB";"65,3781
RUB"
Schweden;1 Euro;"9,2826
SEK";"9,4105
SEK";"9,2848
SEK";"9,2027
SEK";"9,2948
SEK";"9,3338
SEK";"9,4742
SEK";"9,4913
SEK";"9,5655
SEK";"9,7073
SEK";"9,8508
SEK";"9,7095
SEK"
Schweiz;1 Euro;"1,0941
CHF";"1,1018
CHF";"1,0920
CHF";"1,0930
CHF";"1,1059
CHF";"1,0894
CHF";"1,0867
CHF";"1,0881
CHF";"1,0919
CHF";"1,0887
CHF";"1,0758
CHF";"1,0750
CHF"
Singapur;1 Euro;"1,5561
SGD";"1,5596
SGD";"1,5247
SGD";"1,5308
SGD";"1,5494
SGD";"1,5205
SGD";"1,4949
SGD";"1,5106
SGD";"1,5240
SGD";"1,5257
SGD";"1,5232
SGD";"1,5137
SGD"
Südafrika;1 Euro;"17,7592
ZAR";"17,4987
ZAR";"17,1222
ZAR";"16,5695
ZAR";"17,3357
ZAR";"16,9371
ZAR";"15,9449
ZAR";"15,4198
ZAR";"15,7305
ZAR";"15,3593
ZAR";"15,0351
ZAR";"14,6142
ZAR"
Thailand;1 Euro;"39,249
THB";"39,507
THB";"39,089
THB";"39,780
THB";"40,064
THB";"39,624
THB";"38,794
THB";"38,916
THB";"38,935
THB";"38,666
THB";"38,155
THB";"37,730
THB"
Tschechien;1 Euro;"27,027
CZK";"27,040
CZK";"27,051
CZK";"27,031
CZK";"27,026
CZK";"27,061
CZK";"27,042
CZK";"27,025
CZK";"27,022
CZK";"27,022
CZK";"27,033
CZK";"27,031
CZK"
Türkei;1 Euro;"3,2713
TRY";"3,2638
TRY";"3,2072
TRY";"3,2135
TRY";"3,3230
TRY";"3,2737
TRY";"3,2786
TRY";"3,3206
TRY";"3,3284
TRY";"3,3912
TRY";"3,5500
TRY";"3,6917
TRY"
Ungarn;1 Euro;"314,68
HUF";"310,37
HUF";"311,15
HUF";"311,46
HUF";"314,58
HUF";"313,98
HUF";"314,35
HUF";"310,21
HUF";"308,68
HUF";"307,00
HUF";"308,82
HUF";"312,24
HUF"
USA;1 Euro;"1,0860
USD";"1,1093
USD";"1,1100
USD";"1,1339
USD";"1,1311
USD";"1,1229
USD";"1,1069
USD";"1,1212
USD";"1,1212
USD";"1,1026
USD";"1,0799
USD";"1,0543
USD"
