Monatlich fortgeschriebene Übersicht der Umsatzsteuer-Umrechnungskurse 2019 (Euro-Referenzkurse);;;;;;;;;;;;;
Land;Währung;Januar[1];Februar [2];März [3];April [4];Mai [5];Juni [6];Juli [7];August [8];September [9];Oktober [10];November [11];Dezember [12]
Australien;1 Euro;1,5975 AUD;1,5895 AUD;1,5959 AUD;1,5802 AUD;1,6116 AUD;1,6264 AUD;1,6061 AUD;1,6431 AUD;1,6162 AUD;1,6271 AUD;1,6181 AUD;1,6154 AUD
Brasilien;1 Euro;4,2700 BRL;4,2234 BRL;4,3369 BRL;4,3740 BRL;4,4797 BRL;4,3600 BRL;4,2416 BRL;4,4649 BRL;4,5307 BRL;4,5212 BRL;4,5900 BRL;4,5700 BRL
Bulgarien;1 Euro;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN
China (VR);1 Euro;7,7504 CNY;7,6485 CNY;7,5868 CNY;7,5489 CNY;7,6736 CNY;7,7937 CNY;7,7151 CNY;7,8581 CNY;7,8323 CNY;7,8447 CNY;7,7571 CNY;7,7974 CNY
Dänemark;1 Euro;7,4657 DKK;7,4627 DKK;7,4625 DKK;7,4650 DKK;7,4675 DKK;7,4669 DKK;7,4656 DKK;7,4602 DKK;7,4634 DKK;7,4693 DKK;7,4720 DKK;7,4720 DKK
Großbritannien;1 Euro;0,88603 GBP;0,87264 GBP;0,85822 GBP;0,86179 GBP;0,87176 GBP;0,89107 GBP;0,89942 GBP;0,91554 GBP;0,89092 GBP;0,87539 GBP;0,85761 GBP;0,84731 GBP
Hongkong;1 Euro;8,9527 HKD;8,9082 HKD;8,8718 HKD;8,8164 HKD;8,7779 HKD;8,8383 HKD;8,7638 HKD;8,7243 HKD;8,6224 HKD;8,6678 HKD;8,6511 HKD;8,6744 HKD
Indien;1 Euro;80,7983 INR;80,8601 INR;78,5605 INR;78,0027 INR;78,0798 INR;78,4078 INR;77,1279 INR;79,1902 INR;78,5678 INR;78,5177 INR;78,9799 INR;79,1092 INR
Indonesien;1 Euro;16.164,77 IDR;15.936,22 IDR;16.059,50 IDR;15.899,18 IDR;16.095,47 IDR;16.060,27 IDR;15.745,50 IDR;15.838,62 IDR;15.511,84 IDR;15.604,45 IDR;15.546,69 IDR;15.568,87 IDR
Island;1 Euro;136,66 ISK;136,10 ISK;135,48 ISK;135,34 ISK;137,64 ISK;140,82 ISK;139,87 ISK;137,66 ISK;137,57 ISK;137,73 ISK;136,52 ISK;135,63 ISK
Israel;1 Euro;4,2075 ILS;4,1162 ILS;4,0885 ILS;4,0413 ILS;4,0184 ILS;4,0624 ILS;3,9758 ILS;3,9046 ILS;3,8769 ILS;3,8882 ILS;3,8472 ILS;3,8630 ILS
