Monatlich fortgeschriebene Übersicht der Umsatzsteuer-Umrechnungskurse 2024 (Euro-Referenzkurse);;;;;;;;;;;;;
Land;Währung;Januar[1];Februar [2];März [3];April [4];Mai [5];Juni [6];Juli [7];August [8];September [9];Oktober [10];November [11];Dezember [12]
Australien;1 Euro;1,6422 AUD;1,6533 AUD;1,6586 AUD;;;;;;;;;
Brasilien;1 Euro;5,3569 BRL;5,3559 BRL;5,4157 BRL;;;;;;;;;
Bulgarien;1 Euro;1,9558 BGN;1,9558 BGN;1,9558 BGN;;;;;;;;;
China (VR);1 Euro;7,8201 CNY;7,7651 CNY;7,8297 CNY;;;;;;;;;
Dänemark;1 Euro;7,4572 DKK;7,4550 DKK;7,4566 DKK;;;;;;;;;
Großbritannien;1 Euro;0,85873 GBP;0,85466 GBP;0,85524 GBP;;;;;;;;;
Hongkong;1 Euro;8,5244 HKD;8,4432 HKD;8,5049 HKD;;;;;;;;;
Indien;1 Euro;90,6347 INR;89,5608 INR;90,2515 INR;;;;;;;;;
Indonesien;1 Euro;17.049,43 IDR;16.898,59 IDR;17.063,66 IDR;;;;;;;;;
Island;1 Euro;149,43 ISK;148,68 ISK;149,04 ISK;;;;;;;;;
Israel;1 Euro;4,0493 ILS;3,9345 ILS;3,9442 ILS;;;;;;;;;
Japan;1 Euro;159,46 JPY;161,38 JPY;162,77 JPY;;;;;;;;;
Kanada;1 Euro;1,4631 CAD;1,4564 CAD;1,4726 CAD;;;;;;;;;
Korea, Republik;1 Euro;1.447,18 KRW;1.437,37 KRW;1.448,12 KRW;;;;;;;;;
Malaysia;1 Euro;5,1105 MYR;5,1468 MYR;5,1272 MYR;;;;;;;;;
Mexiko;1 Euro;18,6268 MXN;18,4425 MXN;18,2610 MXN;;;;;;;;;
Neuseeland;1 Euro;1,7673 NZD;1,7618 NZD;1,7869 NZD;;;;;;;;;
Norwegen;1 Euro;11,3501 NOK;11,3843 NOK;11,5214 NOK;;;;;;;;;
Philippinen;1 Euro;61,090 PHP;60,486 PHP;60,736 PHP;;;;;;;;;
Polen;1 Euro;4,3648 PLN;4,3256 PLN;4,3069 PLN;;;;;;;;;
Rumänien;1 Euro;4,9749 RON;4,9746 RON;4,9708 RON;;;;;;;;;
Russland1;1 Euro;;;;;;;;;;;;
Schweden;1 Euro;11,2834 SEK;11,2500 SEK;11,3054 SEK;;;;;;;;;
Schweiz;1 Euro;0,9368 CHF;0,9462 CHF;0,9656 CHF;;;;;;;;;
Singapur;1 Euro;1,4569 SGD;1,4513 SGD;1,4573 SGD;;;;;;;;;
Südafrika;1 Euro;20,5161 ZAR;20,5082 ZAR;20,4955 ZAR;;;;;;;;;
Thailand;1 Euro;38,401 THB;38,709 THB;39,079 THB;;;;;;;;;
Tschechien;1 Euro;24,716 CZK;25,232 CZK;25,292 CZK;;;;;;;;;
Türkei;1 Euro;32,8165 TRY;33,2644 TRY;34,8229 TRY;;;;;;;;;
Ungarn;1 Euro;382,04 HUF;388,04 HUF;395,09 HUF;;;;;;;;;
USA;1 Euro;1,0905 USD;1,0795 USD;1,0872 USD;;;;;;;;;
1 Die EZB hat die Veröffentlichung des Euro-Referenzkurses zum Rubel mit Wirkung vom 2. März 2022 bis auf Weiteres ausgesetzt.;;;;;;;;;;;;;
[1] entsprechend BMF-Schreiben vom 1. Februar 2024 – III C 3 – S 7329/19/10001 :006 (2024/0041704) –;;;;;;;;;;;;;
[2] entsprechend BMF-Schreiben vom 1. März 2024 – III C 3 – S 7329/19/10001 :006 (2024/0187965) –;;;;;;;;;;;;;
[3] entsprechend BMF-Schreiben vom 2. April 2024 – III C 3 – S 7329/19/10001 :006 (2024/0272584) –;;;;;;;;;;;;;
