Monatlich fortgeschriebene Übersicht der Umsatzsteuer-Umrechnungskurse 2018 (Euro-Referenzkurse);;;;;;;;;;;;;
Land;Währung;Januar[1];Februar[2];März[3];April[4];Mai[5];Juni[6];Juli[7];August[8];September[9];Oktober[10];November[11];Dezember[12]
Südafrika;1 Euro;14,8910 ZAR;14,6041 ZAR;14,6218 ZAR;14,8756 ZAR;14,8182 ZAR;15,5262 ZAR;15,6599 ZAR;16,2808 ZAR;17,2295 ZAR;16,6548 ZAR;16,0114 ZAR;16,1870 ZAR
Thailand;1 Euro;38,913 THB;38,888 THB;38,581 THB;38,451 THB;37,781 THB;37,930 THB;37,894 THB;38,146 THB;38,013 THB;37,652 THB;37,470 THB;37,238 THB
Tschechien;1 Euro;25,452 CZK;25,320 CZK;25,429 CZK;25,365 CZK;25,640 CZK;25,778 CZK;25,850 CZK;25,681 CZK;25,614 CZK;25,819 CZK;25,935 CZK;25,835 CZK
Türkei;1 Euro;4,6027 TRY;4,6710 TRY;4,7993 TRY;5,0003 TRY;5,2501 TRY;5,4073 TRY;5,5748 TRY;6,8488 TRY;7,3840 TRY;6,6919 TRY;6,0896 TRY;6,0630 TRY
Ungarn;1 Euro;309,27 HUF;311,74 HUF;312,19 HUF;311,72 HUF;316,93 HUF;322,70 HUF;324,60 HUF;323,02 HUF;324,82 HUF;323,84 HUF;322,33 HUF;322,74 HUF
USA;1 Euro;1,2200 USD;1,2348 USD;1,2336 USD;1,2276 USD;1,1812 USD;1,1678 USD;1,1686 USD;1,1549 USD;1,1659 USD;1,1484 USD;1,1367 USD;1,1384 USD
;;;;;;;;;;;;;
Hinweis: Seit 1. Februar 2018 stellt die Europäische Zentralbank wieder Kurse für isländische Kronen fest.;;;;;;;;;;;;;
1 entsprechend BMF-Schreiben vom 1. Februar 2018 – III C 3 – S 7329/18/10001 (2018/0084036) –;;;;;;;;;;;;;
2 entsprechend BMF-Schreiben vom 1. März 2018 – III C 3 – S 7329/18/10001 (2018/0162501) –;;;;;;;;;;;;;
3 entsprechend BMF-Schreiben vom 3. April 2018 – III C 3 – S 7329/18/10001 (2018/0253661) –;;;;;;;;;;;;;
4 entsprechend BMF-Schreiben vom 2. Mai 2018 – III C 3 – S 7329/18/10001 (2018/0304422) –;;;;;;;;;;;;;
5 entsprechend BMF-Schreiben vom 1. Juni 2018 – III C 3 – S 7329/18/10001 (2018/0439275) –;;;;;;;;;;;;;
6 entsprechend BMF-Schreiben vom 2. Juli 2018 – III C 3 – S 7329/18/10001 (2018/0500373) –;;;;;;;;;;;;;
7 entsprechend BMF-Schreiben vom 1. August 2018 – III C 3 – S 7329/18/10001 (2018/0610715) –;;;;;;;;;;;;;
8 entsprechend BMF-Schreiben vom 3. September 2018 – III C 3 – S 7329/18/10001 (2018/0706528) –;;;;;;;;;;;;;
9 entsprechend BMF-Schreiben vom 1. Oktober 2018 – III C 3 – S 7329/18/10001 (2018/0794811) –;;;;;;;;;;;;;
10 entsprechend BMF-Schreiben vom 1. November 2018 – III C 3 – S 7329/18/10001 (2018/0885534) – ;;;;;;;;;;;;;
11 entsprechend BMF-Schreiben vom 3. Dezember 2018 – III C 3 – S 7329/18/10001 (2018/0986436) –;;;;;;;;;;;;;
12 entsprechend BMF-Schreiben vom 2. Januar 2019 – III C 3 – S 7329/18/10001 (2018/1054708) –;;;;;;;;;;;;;
