Monatlich fortgeschriebene Übersicht der Umsatzsteuer-Umrechnungskurse 2020 (Euro-Referenzkurse);;;;;;;;;;;;;;
Land;Währung;Januar[1];Februar [2];März [3];April [4];Mai [5];Juni [6];Juli [7];August [8];September [9];Oktober [10];November [11];Dezember [12];
Australien;1 Euro;1,6189 AUD;1,6356 AUD;1,7788 AUD;1,7271 AUD;1,6724 AUD;1,6322 AUD;1,6304 AUD;1,6433 AUD;1,6307 AUD;1,6521 AUD;1,6266 AUD;1,6166 AUD;
Brasilien;1 Euro;4,6020 BRL;4,7327 BRL;5,3986 BRL;5,7807 BRL;6,1499 BRL;5,8377 BRL;6,0590 BRL;6,4381 BRL;6,3663 BRL;6,6170 BRL;6,4324 BRL;6,2658 BRL;
Bulgarien;1 Euro;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;1,9558 BGN;
China (VR);1 Euro;7,6832 CNY;7,6302 CNY;7,7675 CNY;7,6858 CNY;7,7482 CNY;7,9734 CNY;8,0352 CNY;8,1954 CNY;8,0333 CNY;7,9225 CNY;7,8152 CNY;7,9602 CNY;
Dänemark;1 Euro;7,4729 DKK;7,4713 DKK;7,4703 DKK;7,4617 DKK;7,4577 DKK;7,4548 DKK;7,4467 DKK;7,4460 DKK;7,4418 DKK;7,4424 DKK;7,4459 DKK;7,4412 DKK;
Großbritannien;1 Euro;0,84927 GBP;0,84095 GBP;0,89460 GBP;0,87547 GBP;0,88685 GBP;0,89878 GBP;0,90467 GBP;0,90081 GBP;0,90947 GBP;0,90741 GBP;0,89605 GBP;0,90624 GBP;
Hongkong;1 Euro;8,6283 HKD;8,4785 HKD;8,5907 HKD;8,4194 HKD;8,4511 HKD;8,7226 HKD;8,8854 HKD;9,1671 HKD;9,1393 HKD;9,1262 HKD;9,1775 HKD;9,4341 HKD;
Indien;1 Euro;79,1342 INR;77,9818 INR;82,4374 INR;82,7869 INR;82,4983 INR;85,2212 INR;85,8847 INR;88,2309 INR;86,7266 INR;86,5891 INR;87,8553 INR;89,6081 INR;
Indonesien;1 Euro;15.236,08 IDR;15.032,66 IDR;16.851,13 IDR;17.178,89 IDR;16.198,23 IDR;15.987,12 IDR;16.659,27 IDR;17.402,53 IDR;17.491,99 IDR;17.348,27 IDR;16.824,32 IDR;17.226,83 IDR;
Island;1 Euro;137,10 ISK;138,23 ISK;149,11 ISK;157,11 ISK;156,61 ISK;152,71 ISK;158,49 ISK;161,77 ISK;162,69 ISK;163,65 ISK;161,90 ISK;155,13 ISK;
Israel;1 Euro;3,8417 ILS;3,7432 ILS;3,9860 ILS;3,8771 ILS;3,8348 ILS;3,8893 ILS;3,9331 ILS;4,0214 ILS;4,0350 ILS;3,9966 ILS;3,9773 ILS;3,9513 ILS;
Japan;1 Euro;121,36 JPY;120,03 JPY;118,90 JPY;116,97 JPY;116,87 JPY;121,12 JPY;122,38 JPY;125,40 JPY;124,50 JPY;123,89 JPY;123,61 JPY;126,28 JPY;
Kanada;1 Euro;1,4523CAD;1,4485 CAD;1,5417 CAD;1,5287 CAD;1,5219 CAD;1,5254 CAD;1,5481 CAD;1,5654 CAD;1,5586 CAD;1,5559 CAD;1,5472 CAD;1,5595 CAD;
Korea, Republik;1 Euro;1.296,12 KRW;1.303,58 KRW;1.347,99 KRW;1.328,89 KRW;1.340,44 KRW;1.358,75 KRW;1.374,16 KRW;1.403,44 KRW;1.388,68 KRW;1.347,03 KRW;1.319,66 KRW;1.332,54 KRW;
Kroatien;1 Euro;7,4429 HRK;7,4543 HRK;7,5706 HRK;7,5928 HRK;7,5749 HRK;7,5682 HRK;7,5296 HRK;7,5077 HRK;7,5417 HRK;7,5746 HRK;7,5623 HRK;7,5417 HRK;
Malaysia;1 Euro;4,5279 MYR;4,5391 MYR;4,7549 MYR;4,7307 MYR;4,7331 MYR;4,8118 MYR;4,8878 MYR;4,9506 MYR;4,8935 MYR;4,8891 MYR;4,8673 MYR;4,9363 MYR;
Mexiko;1 Euro;20,8733 MXN;20,5356 MXN;24,725 MXN;26,3607 MXN;25,5652 MXN;25,0828 MXN;25,6999 MXN;26,2544 MXN;25,5361 MXN;25,0613 MXN;24,1554 MXN;24,2914 MXN;
Neuseeland;1 Euro;1,6811 NZD;1,7064 NZD;1,8276 NZD;1,8109 NZD;1,7890 NZD;1,7473 NZD;1,7406 NZD;1,7931 NZD;1,7681 NZD;1,7736 NZD;1,7237 NZD;1,7161 NZD;
Norwegen;1 Euro;9,9384 NOK;10,1327 NOK;11,2943 NOK;11,3365 NOK;10,9862 NOK;10,7298 NOK;10,6544 NOK;10,5797 NOK;10,7769 NOK;10,9220 NOK;10,7453 NOK;10,6008 NOK;
Philippinen;1 Euro;56,436 PHP;55,369 PHP;56,453 PHP;55,065 PHP;55,121 PHP;56,333 PHP;56,619 PHP;57,682 PHP;57,223 PHP;57,107 PHP;57,127 PHP;58,527 PHP;
Polen;1 Euro;4,2507 PLN;4,2766 PLN;4,4406 PLN;4,5437 PLN;4,5251 PLN;4,4450 PLN;4,4493 PLN;4,3995 PLN;4,4727 PLN;4,5414 PLN;4,4949 PLN;4,4786 PLN;
Rumänien;1 Euro;4,7788 RON;4,7837 RON;4,8282 RON;4,8371 RON;4,8371 RON;4,8392 RON;4,8383 RON;4,8376 RON;4,8602 RON;4,8747 RON;4,8704 RON;4,8703 RON;
Russland;1 Euro;68,7690 RUB;69,9107 RUB;82,4264 RUB;81,7454 RUB;79,2332 RUB;78,0103 RUB;82,0171 RUB;87,3520 RUB;89,5997 RUB;91,4320 RUB;91,0097 RUB;90,2398 RUB;
Schweden;1 Euro;10,5544 SEK;10,5679 SEK;10,8751 SEK;10,8845 SEK;10,5970 SEK;10,4869 SEK;10,3538 SEK;10,3087 SEK;10,4279 SEK;10,3967 SEK;10,2311 SEK;10,1736 SEK;
Schweiz;1 Euro;1,0765 CHF;1,0648 CHF;1,0591 CHF;1,0545 CHF;1,0574 CHF;1,0712 CHF;1,0711 CHF;1,0767 CHF;1,0786 CHF;1,0739 CHF;1,0785 CHF;1,0814 CHF;
Singapur;1 Euro;1,5003 SGD;1,5157 SGD;1,5671 SGD;1,5474 SGD;1,5461 SGD;1,5686 SGD;1,5906 SGD;1,6195 SGD;1,6104 SGD;1,6008 SGD;1,5944 SGD;1,6218 SGD;
Südafrika;1 Euro;16,0091 ZAR;16,3640 ZAR;18,4175 ZAR;20,1822 ZAR;19,7453 ZAR;19,2726 ZAR;19,2174 ZAR;20,3836 ZAR;19,7338 ZAR;19,3657 ZAR;18,4019 ZAR;18,1286 ZAR;
Thailand;1 Euro;33,814 THB;34,163 THB;35,499 THB;35,446 THB;34,953 THB;35,077 THB;36,014 THB;36,911 THB;36,997 THB;36,796 THB;36,041 THB;36,610 THB;
Tschechien;1 Euro;25,216 CZK;25,051 CZK;26,575 CZK;27,262 CZK;27,269 CZK;26,681 CZK;26,514 CZK;26,167 CZK;26,741 CZK;27,213 CZK;26,466 CZK;26,311 CZK;
Türkei;1 Euro;6,5808 TRY;6,6195 TRY;7,0170 TRY;7,4617 TRY;7,5527 TRY;7,6807 TRY;7,8843 TRY;8,6144 TRY;8,9084 TRY;9,3701 TRY;9,4522 TRY;9,3817 TRY;
Ungarn;1 Euro;334,38 HUF;337,17 HUF;345,68 HUF;356,69 HUF;350,76 HUF;347,69 HUF;351,16 HUF;348,93 HUF;360,61 HUF;362,53 HUF;359,84 HUF;359,02 HUF;
USA;1 Euro;1,1100 USD;1,0905 USD;1,1063 USD;1,0862 USD;1,0902 USD;1,1255 USD;1,1463 USD;1,1828 USD;1,1792 USD;1,1775 USD;1,1838 USD;1,2170 USD;
;;;;;;;;;;;;;;
[1] entsprechend BMF-Schreiben vom 3. Februar 2020 – III C 3 – S 7329/19/10001 :002 (2020/0095159) –;;;;;;;;;;;;;;
[2] entsprechend BMF-Schreiben vom 2. März 2020 – III C 3 – S 7329/19/10001 :002 (2020/0170120) –;;;;;;;;;;;;;;
[3] entsprechend BMF-Schreiben vom 1. April 2020 – III C 3 – S 7329/19/10001 :002 (2020/0312577)- ;;;;;;;;;;;;;;
[4] entsprechend BMF-Schreiben vom 4. Mai 2020 – III C 3 – S 7329/19/10001 :002 (2020/0431968) –;;;;;;;;;;;;;;
[5] entsprechend BMF-Schreiben vom 2. Juni 2020 – III C 3 – S 7329/19/10001 :002 (2020/0539803) –;;;;;;;;;;;;;;
[6] entsprechend BMF-Schreiben vom 1. Juli 2020 – III C 3 – S 7329/19/10001 :002 (2020/0655687) –;;;;;;;;;;;;;;
[7] entsprechend BMF-Schreiben vom 3. August 2020 – III C 3 – S 7329/19/10001 :002 (2020/0736680) –;;;;;;;;;;;;;;
[8] entsprechend BMF-Schreiben vom 1. September 2020 – III C 3 – S 7329/19/10001 :002 (2020/0871818) –;;;;;;;;;;;;;;
[9] entsprechend BMF-Schreiben vom 1. Oktober 2020 – III C 3 – S 7329/19/10001 :002 (2020/0969640) –;;;;;;;;;;;;;;
[10] entsprechend BMF-Schreiben vom 2. November 2020 – III C 3 – S 7329/19/10001 :002 (2020/1103360) –;;;;;;;;;;;;;;
[11] entsprechend BMF-Schreiben vom 1. Dezember 2020 – III C 3 – S 7329/19/10001 :002 (2020/1249543) –;;;;;;;;;;;;;;
[12] entsprechend BMF-Schreiben vom 4. Januar 2021 – III C 3 – S 7329/19/10001 :002 (2020/1352411) –;;;;;;;;;;;;;;
